"Path","OriginalLine","ConnectionId","Context"
"controls/editbox.xaml","10","1",""
"controls/pvftreeview.xaml","11","2",""
"controls/pvftreeview.xaml","82","4",""
"controls/pvftreeview.xaml","127","3",""
"controls/pvftreeview.xaml","130","1",""
"controls/pvftreeviewgroup.xaml","35","2",""
"controls/pvftreeviewgroup.xaml","39","3",""
"controls/texteditorfolder/allsearchresulttreeview.xaml","8","1",""
"controls/texteditorfolder/allsearchresulttreeview.xaml","21","2",""
"controls/texteditorfolder/allsearchresultview.xaml","10","3",""
"controls/texteditorfolder/allsearchresultview.xaml","12","2",""
"controls/texteditorfolder/documenttexteditor.xaml","88","2",""
"controls/texteditorfolder/documenttexteditor.xaml","156","6",""
"controls/texteditorfolder/searchpanel.xaml","36","3",""
"controls/texteditorfolder/searchpanel.xaml","91","6",""
"controls/texteditorfolder/searchpanel.xaml","117","5",""
"controls/texteditorfolder/windowgotoline.xaml","11","1",""
"controls/texteditorfolder/windowgotoline.xaml","14","2",""
"mainwindow.xaml","30","2",""
"mainwindow.xaml","34","3",""
"mainwindow.xaml","89","5",""
"mainwindow.xaml","93","4",""
"mainwindow.xaml","172","6",""
"mainwindow.xaml","185","7",""
"mainwindow.xaml","191","8",""
"mainwindow.xaml","250","9",""
"mainwindow.xaml","348","10",""
"mainwindow.xaml","412","14",""
"mainwindow.xaml","414","13",""
"mainwindow.xaml","421","15",""
"mainwindow.xaml","426","16",""
"mainwindow.xaml","432","17",""
"mainwindow.xaml","436","18",""
"mainwindow.xaml","440","19",""
"mainwindow.xaml","444","12",""
"mainwindow.xaml","446","11",""
"mainwindow.xaml","540","1",""
"splashscreen/fluentsplashscreen/pvfcodesplashscreenwindow.xaml","7","1",""
"splashscreen/fluentsplashscreen/pvfcodesplashscreenwindow.xaml","10","2",""
"splashscreen/fluentsplashscreen/pvfcodesplashscreenwindow.xaml","15","3",""
"themes/styles/iconsblue.xaml","18","1",""
"themes/styles/iconsblue.xaml","618","2",""
"themes/styles/iconsblue.xaml","624","3",""
"themes/styles/iconsblue.xaml","629","4",""
"themes/styles/iconsdark.xaml","18","1",""
"themes/styles/iconsdark.xaml","618","2",""
"themes/styles/iconsdark.xaml","624","3",""
