"File","Offset","Expression","Value"
"PvfCode\AppSetting.cs","0","0x2F9AA85A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_ffdf07cd419c4048ae81f7fe42516fc1","Options"
"PvfCode\AppSetting.cs","18","0x4CE9BA74 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_be9ee334797b4b96b06bf02729756884","pvfUtility.Layout"
"PvfCode\AppSetting.cs","56","0x129C0E40 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_5af5ce3e732a4544805a6d53df0b38f3","AppConfig.bin"
"PvfCode\AppSetting.cs","86","0x4D7C2391 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e7a16d566a7344fa9fc075b01f65053f","AniDesigner"
"PvfCode\AppSetting.cs","112","0x43FEBE00 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_76a5329ba89c419bb504977e60bee020","CurrentLang"
"PvfCode\AppSetting.cs","138","0x688B02D7 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_fe79ec19ea654f38b817b93aa0f16bb8","ChildWindowAttachmentMainWindow"
"PvfCode\AppSetting.cs","204","0x4D7C230B ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e7a16d566a7344fa9fc075b01f65053f","FontSize"
"PvfCode\AppSetting.cs","224","0x24C1DA11 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_b44dc61355f746e296ab2869249a148a","UploadScriptFileContentFormatting"
"PvfCode\AppSetting.cs","294","0x57677D7 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_6f35923f7e3c448e89885f2a3e304f16","MacroGroup"
"PvfCode\AppSetting.cs","318","0x4D7C22F9 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e7a16d566a7344fa9fc075b01f65053f","NowThemeType"
"PvfCode\AppSetting.cs","346","0x129C0F22 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_5af5ce3e732a4544805a6d53df0b38f3","AppConfig("
"PvfCode\AppSetting.cs","346","0x4AAC672C ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_462d5774e5b343638785f870c8a2368d","AppConfig("
"PvfCode\AppSetting.cs","370","0x24C1DB83 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_b44dc61355f746e296ab2869249a148a",").bin"
"PvfCode\AppSetting.cs","370","0x4D181FFC ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_ae8e5535a56e41c088957a236c4dbbbb",").bin"
"PvfCode\AppSetting.cs","384","0x53B0D19F ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_6337ac5176b94e4fbc82458203a33980","配置文件加载时发生错误："
"PvfCode\AppSetting.cs","412","-2058136330 ^ -1517416171 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_da86af125ef44472bcb7ee017043046c","

已为您将配置文件备份到："
"PvfCode\AppSetting.cs","448","0x785FEA9B ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_ee9019ee278a483f841ec956772ff02e","

请发送给作者分析修复"
"PvfCode\AppSetting.cs","480","0x6854CDEC ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_41ad5cab4cce48768ab95608091291f1","错误"
"PvfCode\AppSetting.cs","488","0x4337FE0A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_65201c1aa71149eca034db0cff153bd8","MainWindowIsEnabled"
"PvfCode\AppSetting.cs","530","0x28E203E9 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e9f521b2cedb42298066f13a8308d8df","InsertIndependent_drop_ListOrder"
"PvfCode\AppSetting.cs","598","0x1C1E3E53 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_70c8fd8404cf43c49abc052e4d3493da","pvfUtility"
"PvfCode\AppSetting.cs","622","0x785FE935 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_ee9019ee278a483f841ec956772ff02e","!#$%&*((qsdV2321SDFSD"
"PvfCode\AutoTheBackupPvfOptions.cs","668","0x20DD46E3 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_da86af125ef44472bcb7ee017043046c","AutoTheBackupPvfIsOpen"
"PvfCode\AutoTheBackupPvfOptions.cs","716","0x576743D ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_6f35923f7e3c448e89885f2a3e304f16","SleepTimeMinutes"
"PvfCode\AutoTheBackupPvfOptions.cs","752","- -265447410 ^ 0x2B13BFF3 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_b44dc61355f746e296ab2869249a148a","BackupPvfMaxCount"
"PvfCode\AutoTheBackupPvfOptions.cs","790","0x317FCDF2 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_c8a3a7f5afbc4fc4b6ff1911680fdf15","BackupSuccessLog"
"PvfCode\AutoTheBackupPvfOptions.cs","826","0x2965D14A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_c8a6e237ba5e4929b4e63ed86132c747","BackupPvf"
"PvfCode\AutoTheBackupPvfOptions.cs","826","0x74C42860 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_946c564fa5bd4978b05e48a363369447","BackupPvf"
"PvfCode\AutoTheBackupPvfOptions.cs","848","0x73AEAA66 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_d0bedb8ed954407788e10a44ffb71f41","BackupPath"
"PvfCode\AutoTheBackupPvfOptions.cs","872","0x4201520 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e5cd12d216b1498fb26aa29e2d96165a","ShowBackUpDirName"
"PvfCode\AutoTheBackupPvfOptions.cs","910","0x1C1E3F8B ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_70c8fd8404cf43c49abc052e4d3493da","pvfUtility_BackUpPvf"
"PvfCode\AutoTheBackupPvfOptions.cs","954","0x4337FC58 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_65201c1aa71149eca034db0cff153bd8","BackUpDirName"
"PvfCode\AutoTheBackupPvfOptions.cs","984","0x66B3444A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_92f741ef5b364ad3b7d2745060db6ed7","script_"
"PvfCode\AutoTheBackupPvfOptions.cs","1002","0x394B2CB1 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_043dbbb5c70a4a1fade9fef173522ca3",".pvf"
"PvfCode\AutoTheBackupPvfOptions.cs","1014","- -320613038 ^ 0x173C3F10 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e5cd12d216b1498fb26aa29e2d96165a","mess_PleaseSelectPvfPath"
"PvfCode\ClientApiOptions.cs","1066","0x67BC5E23 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_da16609e2e45436cb9599265ac249e45","Port"
"PvfCode\ClientApiOptions.cs","1078","- -971443473 ^ 0x4A49A011 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_d0bedb8ed954407788e10a44ffb71f41","StartLoading"
"PvfCode\ClientApiOptions.cs","1106","0x1D48617A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_de1f8a36425541afa677302f17d6b50a","UseCompatibleDecompiler"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","14164","0x57641A5 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_6f35923f7e3c448e89885f2a3e304f16","RemoveOrKeepFileType"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","14208","- -1550668123 ^ 0x28B549F2 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_bb6682a830894276b8bd5aef887f12e5","FileTypes"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22082","0x3A4A3788 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_a42832252e5045a78f8c39de3ab569ac","FindKeyword"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22108","0x266BFC5C ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_f4ab16c1a26b4e079612d99382e8f0cd","ReplaceKeyword"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22140","0x3F56CC6F ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_fd100ef32cc0434788a375e247f8f9c6","FindStartKeyword"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22176","0x4D7C7567 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_e7a16d566a7344fa9fc075b01f65053f","FindEndKeyword"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22208","0x66B31152 ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_92f741ef5b364ad3b7d2745060db6ed7","TraitReplaceKeyword"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22250","0x2965849A ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_c8a6e237ba5e4929b4e63ed86132c747","AddContent"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22274","0x65C0F0DA ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_0fdeeb58c74b4bbc8c8b08ea297bbe71","标签不能为空！且长度不能小于3"
"PvfCode\Models\BatchOperation\BatchOperationConfig.cs","22308","0x7FC41C5C ^ _003CModule_003E_007Bca6a0dd5_002Dc5c4_002D415b_002Db834_002D43407116930c_007D.m_85a9146d95c445febccf19a89589f9ed.m_5bc082d3f4be4b0381caca1c5291fbbd","错误的标签名 起始和结束字符必须时 []"
