"File","Offset","Expression","Value"
"controls\texteditorfolder\previewcontrols\TextEditorPreviewAni.cs","4296","0x768AE94E ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_5f32481f68ae4c7eaeea7ec68a5ff47b","/pvfUtility;V2026.1.22.2;component/controls/texteditorfolder/previewcontrols/texteditorpreviewani.xaml"
"controls\texteditorfolder\previewcontrols\TextEditorPreviewAni.cs","4504","0x4E193B01 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_24a7cb1bd49e4021b5d8fa5493d816ca","MaxWidthValue"
"controls\texteditorfolder\previewcontrols\TextEditorPreviewAni.cs","4534","0x690EF094 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_864fc4c2b93e4f099c2c07aa23d782f6","MaxHeightValue"
"controls\texteditorfolder\TextBoxPasteHelper.cs","4262","0x306506AC ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_add69167a2c54fe0bb2e5f0af2545839","CanPasteNewLine"
"Converts\Search\ConvertScriptContentSearchMode.cs","4046","0x21879660 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_a6871abdbd314ec9bd2de23164bed82c","GlobalSearchWindow_ScriptFileSearchTypeComboBoxItem1"
"Converts\Search\ConvertScriptContentSearchMode.cs","4046","0x13FC48A4 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_a7cc82b779404332a260d01290ecb801","GlobalSearchWindow_ScriptFileSearchTypeComboBoxItem1"
"Converts\Search\ConvertScriptContentSearchMode.cs","4154","0xB8B3DAB ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_e066a82cd08141c08d4817f20a7d29f3","GlobalSearchWindow_ScriptFileSearchTypeComboBoxItem2"
"Converts\Search\ConvertScriptContentSearchMode.cs","4154","0x25C005AD ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_c8944dd9ca4b4079b8678bce0630ff7d","GlobalSearchWindow_ScriptFileSearchTypeComboBoxItem2"
"PvfCode\App.cs","4566","0x636C13DC ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_972142dcef4a4cfba572768c2212069f","7z64.dll"
"PvfCode\App.cs","4586","0x70D1CC4E ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_541fbf15174a41ce952b7916fd6276fe","e_sqlite3.dll"
"PvfCode\App.cs","4616","0x3D9BC211 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_825859c4ee504b91a6a1d6e7fabf4f01","WebView2Loader.dll"
"PvfCode\App.cs","4656","0x21878B9E ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_a6871abdbd314ec9bd2de23164bed82c","/pvfUtility;V2026.1.22.2;component/app.xaml"
"PvfCode\App.cs","68102","0x30641C0C ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_add69167a2c54fe0bb2e5f0af2545839","N"
"PvfCode\App.cs","68102","0x30641C0C ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_add69167a2c54fe0bb2e5f0af2545839","N"
"PvfCode\App.cs","68108","0x1019F95F ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_80f251012e8548e0baf3267defb3d706","mess_ShowMessageError"
"PvfCode\App.cs","68108","0x1019F95F ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_80f251012e8548e0baf3267defb3d706","mess_ShowMessageError"
"PvfCode\App.cs","68154","0x3854124F ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_0273572c23d24952bbcc01600fea0084","mess_Exception"
"PvfCode\App.cs","68186","0x4165BF6 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_8fd2865c456d4936bd87c4a63c3e7ba1","QQ：812143836"
"PvfCode\App.cs","68186","0x11B81576 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_39a59c8c3fda4dbdaaf2213c010b00a8","QQ：812143836"
"PvfCode\App.cs","68214","0x9320BC1 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_a47e9e4bf3624e7291689f8fb4b10989","mess_Exception_2"
"PvfCode\App.cs","68250","0xC6365 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_ffc261d25c834aebbee1da6f61154719","OpenClipboard 失败 (0x800401D0 (CLIPBRD_E_CANT_OPEN))"
"PvfCode\AppCore.cs","4746","0x65E6ECE9 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_0a3e5af7839d43a19884f927a9769d0e","mess_LstExtractResult"
"PvfCode\AppCore.cs","68356","0x6C4DEEA4 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_c4ac9f35eb704455b489a780e86cf909","宏保存成功"
"PvfCode\Commands\Resource1.cs","13276","0xB8B1E4D ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_e066a82cd08141c08d4817f20a7d29f3","ItemCodeHoverConfig"
"PvfCode\Commands\Resource1.cs","67806","0x527BAE0C ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_cb81f441a98e4bd493b61df435bbdbdb","Commands.Resource1"
"PvfCode\Controls\AvatarControl\AvatarControlEx.cs","33454","0x101871FD ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_80f251012e8548e0baf3267defb3d706","ImageSource"
"PvfCode\Controls\AvatarControl\AvatarControlEx.cs","67646","0x704F3311 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_c4f70e4f04fd48b4b9edaf9a9b8fdeae","/pvfUtility;V2026.1.22.2;component/controls/avatarcontrol/avatarcontrolex.xaml"
"PvfCode\Controls\ButtonInfoEx.cs","63142","0x51F1236A ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_e9daf7d92d7e4446976bda811e90502a","/pvfUtility;V2026.1.22.2;component/controls/buttoninfoex.xaml"
"PvfCode\Controls\EditBox.cs","56668","0x11B9C270 ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_39a59c8c3fda4dbdaaf2213c010b00a8","Value"
"PvfCode\Controls\EditBox.cs","63268","0x3D9B273D ^ _003CModule_003E_007Be69553f9_002Deb39_002D49cd_002D9d77_002Da4ee304d94f7_007D.m_7b86004a82fb42ee97ea7d5e58574563.m_825859c4ee504b91a6a1d6e7fabf4f01","/pvfUtility;V2026.1.22.2;component/controls/editbox.xaml"
